,city name,country,date,lon,lat,max temp,humidity,cloudiness,wind speed
298,Matsusaka,JP,1590273238,136.53,34.57,69.8,73,20,11.41
299,Kieta,PG,1590273238,155.63,-6.22,83.89,70,99,4.0
300,Megion,RU,1590273238,76.11,61.03,53.6,87,42,6.71
301,Kuandian,CN,1590273238,124.78,40.73,56.03,87,38,3.22
302,São João da Barra,BR,1590273238,-41.05,-21.64,78.8,74,33,6.93
303,Brae,GB,1590273238,-1.35,60.4,48.2,93,100,17.22
304,Chastyye,RU,1590273238,54.97,57.29,50.11,75,100,9.28
305,Eureka,US,1590273173,-124.16,40.8,66.99,65,80,5.99
306,Sarwār,IN,1590273238,75.0,26.07,88.09,32,14,17.11
307,Ugoofaaru,MV,1590273238,73.0,5.67,83.91,78,24,16.37
308,Poum,NC,1590273238,164.02,-20.23,76.89,75,99,15.32
309,Rocha,UY,1590273238,-54.33,-34.48,56.93,71,97,11.59
310,Katangli,RU,1590273238,143.23,51.71,40.05,86,96,8.68
311,Jiménez,MX,1590273238,-105.4,28.33,91.4,5,5,8.05
312,Kodinsk,RU,1590273125,99.18,58.69,64.47,48,28,1.14
313,Dalnerechensk,RU,1590273238,133.72,45.93,52.57,92,100,3.94
314,Broome,US,1590273238,-75.83,42.25,75.0,60,90,5.82
315,Tocopilla,CL,1590273238,-70.2,-22.09,63.64,68,14,4.76
316,Knysna,ZA,1590273238,23.05,-34.04,55.4,82,0,3.36
317,Churapcha,RU,1590273238,132.43,62.0,53.65,43,87,4.16
318,Bagrāmī,AF,1590273239,69.27,34.49,62.6,51,1,3.36
319,Sitka,US,1590273239,-135.33,57.05,55.4,58,90,20.8
320,Prado,BR,1590273239,-39.22,-17.34,74.89,90,0,2.08
321,Rosetta,EG,1590273239,30.42,31.4,68.0,56,40,20.8
322,Guatire,VE,1590273239,-66.54,10.48,77.52,68,88,4.99
323,Kumul,CN,1590273239,93.45,42.8,65.62,38,64,11.54
324,Blagoyevo,RU,1590273239,47.92,63.37,33.35,90,80,2.91
325,Verkhnyaya Inta,RU,1590273239,60.31,65.98,36.16,88,100,12.71
326,Sibolga,ID,1590273239,98.78,1.74,77.0,82,100,4.41
327,Lata,PT,1590273239,-8.33,40.16,63.0,84,7,1.01
328,Eyl,SO,1590273239,49.82,7.98,88.11,54,42,20.65
329,Cabo San Lucas,MX,1590273012,-109.91,22.89,86.0,45,5,12.75
330,Okitipupa,NG,1590273239,4.78,6.5,75.56,93,31,1.81
331,Sola,VU,1590273239,167.55,-13.88,80.6,88,75,8.75
332,College,US,1590273239,-147.8,64.86,72.0,26,40,6.93
333,Danshui,CN,1590273239,114.47,22.8,81.0,99,72,3.91
334,Lac du Bonnet,CA,1590273239,-96.06,50.25,80.01,34,100,5.01
335,Flinders,AU,1590273239,150.86,-34.58,60.01,72,100,11.01
336,La Tuque,CA,1590273008,-72.78,47.43,61.36,38,0,3.36
337,Progreso,MX,1590273239,-89.67,21.28,84.0,94,75,23.04
338,Mandalgovi,MN,1590273239,106.27,45.76,49.05,51,87,13.2
339,Launceston,AU,1590273066,147.17,-41.45,44.6,81,75,13.87
340,Sampit,ID,1590273240,112.95,-2.53,75.79,95,55,0.13
341,Ust'-Koksa,RU,1590273240,85.61,50.27,46.98,77,73,1.36
342,‘Ewa Beach,US,1590273240,-158.01,21.32,84.2,62,1,9.17
343,Lebu,CL,1590273240,-73.65,-37.62,53.2,80,64,5.08
344,Bengkulu,ID,1590273240,102.27,-3.8,76.6,82,14,4.47
345,Mehamn,NO,1590273240,27.85,71.04,45.81,68,29,19.51
346,Port Hardy,CA,1590273240,-127.42,50.7,53.6,87,90,5.82
347,Sinnamary,GF,1590273240,-52.95,5.38,78.98,87,89,9.78
348,Portage,US,1590273240,-81.2,41.17,75.99,53,1,2.04
349,Luanda,AO,1590273240,13.23,-8.84,78.8,88,40,3.36
350,Vanimo,PG,1590273240,141.3,-2.67,84.09,75,17,3.44
351,Motygino,RU,1590273240,94.76,58.18,60.94,56,0,0.72
352,Bud,US,1590273240,-86.18,39.45,72.0,78,1,10.29
353,Lerwick,GB,1590273240,-1.15,60.15,48.2,100,100,26.4
354,Camaná,PE,1590273240,-72.71,-16.62,64.27,77,20,3.67
355,Jalu,LY,1590273240,21.55,29.03,71.65,42,0,12.91
356,Sovetskiy,RU,1590273240,63.58,61.36,43.21,88,9,4.5
357,Shingū,JP,1590273240,135.98,33.73,67.42,85,92,6.69
358,Great Yarmouth,GB,1590273240,1.73,52.61,55.0,75,30,3.0
359,Sørland,NO,1590273240,12.69,67.67,46.6,82,53,6.93
360,Grand Forks,US,1590273236,-97.03,47.93,77.0,47,75,9.17
361,Altay,CN,1590273241,88.12,47.87,54.52,56,22,3.47
362,Erenhot,CN,1590273241,111.98,43.65,55.35,52,88,7.61
363,Bambous Virieux,MU,1590273241,57.76,-20.34,68.0,82,75,3.36
364,Yamaranguila,HN,1590273241,-88.25,14.28,86.0,70,40,11.41
365,Nantucket,US,1590273241,-70.1,41.28,48.2,93,90,17.22
